   ,CHANGED,INTERNAL CODE,ENGLISH,ENGLISH HEALTH,ENGLISH PERSONNEL,NETHERLANDS,NL HEALTH,NL PERSONNEL,NORWEGIAN,NOR HEALTH,NOR PERSONNEL,SWEDISH,SWE HEALTH,SWE PERSONNEL,KINESISK,KIN HELSE,KIN PERSONELL,DEBUG,DEBUG HEALTH,DEBUG PERSONELL,GERMAN,GERMAN HEALTH,GERMAN PERSONELL,,
2,3/9/2012,findit.language.domain.DEF,Asset,,,Object,,,Eiendeler,,,Föremål,,,资产,,,1,,,Objekt,,,,
4,3/9/2012,findit.language.domain.HLS,Health,,,Gezondheid,,,Helse,,,Hälsa,,,医疗卫生,,,2,,,Gesundheit,,,,
5,3/9/2012,findit.language.domain.PRS,Personnel,,,Personeel,,,Personell,,,Personal,,,人员,病人,,3,,,Personal,,,,
,,dep.findit.language.domain.AST,Asset,,,Object,,,Eiendeler,,,Föremål,,,资产,,,4,,,Objekt,,,,
6,3/9/2012,findit.label.history,,,,,,,,,,,,,,,,5,,,,,,,
,,findit.label.ttl,Time to Live,,,,,,Levelengde,,,,,,,,,6,,,,,,,
,            13/06/2014,findit.label.use.automatic.zoom,Automatically zoom map,,,Automatisch vergroten en Centreren,,,,,,,,,,,,7,,,,,,,
7,3/9/2012,findit.css.inherit,Inherit,,,Overnemen,,,Arv,,,Ärva,,,继承,,,8,,,Übernehmen,,,,
8,3/9/2012,findit.css.generic,Generic,,,Algemeen,,,Generisk,,,Generisk,,,通用,,,9,,,Allgemein,,,,
,,findit.css.test,Test,,,Test,,,,,,,,,,,,10,,,Test,,,,
9,4/25/2012,dateCreated,,,,,,,,,,,,,,,,11,,,,,,,
10,3/9/2012,,,,,,,,,,,,,,,,,12,,,,,,,
11,3/9/2012,findit.language.primary.no,Norsk,,,Norsk,,,,,,,,,挪文,,,13,,,Norwegisch,,,,
12,3/9/2012,findit.language.primary.en,English,,,English,,,,,,,,,英文,,,14,,,Englisch,,,,
12,3/9/2012,findit.language.primary.nl,Nederlands,,,Nederlands,,,,,,,,,荷兰文,,,15,,,Niederländisch,,,,
12,3/9/2012,findit.language.primary.se,Svensk,,,Svensk,,,,,,,,,瑞典文,,,16,,,,,,,
12,3/9/2012,findit.language.primary.ch,Chinese,,,Chinese,,,,,,,,,中文,,,17,,,Chinesisch,,,,
12,3/9/2012,findit.language.primary.de,German,,,Deutsch,,,,,,,,,,,,18,,,Deutsch,,,,
